Holdings details

Total World Stock ETF (VT)


Equity,as of 05/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2379504,NVIDIA Corp,NVDA,4.16%,Semiconductors,US,---,"$4,028,206,619.52","19,078,368"
,2046251,Apple Inc,AAPL,3.79%,"Technology Hardware, Storage & Peripherals",US,---,"$3,664,437,259.98","11,742,733"
,2588173,Microsoft Corp,MSFT,2.81%,Systems Software,US,---,"$2,721,332,953.92","6,044,183"
,2000019,Amazon.com Inc,AMZN,2.19%,Broadline Retail,US,---,"$2,116,064,876.16","7,818,744"
,BYVY8G0,Alphabet Inc,GOOGL,1.88%,Interactive Media & Services,US,---,"$1,822,480,502.76","4,791,714"
,BDZ78H9,Broadcom Inc,AVGO,1.74%,Semiconductors,US,---,"$1,681,745,930.64","3,764,232"
,6889106,Taiwan Semiconductor Manufacturing Co Ltd,2330,1.52%,Semiconductors,TW,---,"$1,469,069,897.31","19,829,445"
,BYY88Y7,Alphabet Inc,GOOG,1.48%,Interactive Media & Services,US,---,"$1,431,740,964.96","3,803,472"
,B7TL820,Meta Platforms Inc,META,1.16%,Interactive Media & Services,US,---,"$1,125,511,696.87","1,779,437"
,B616C79,Tesla Inc,TSLA,1.04%,Automobile Manufacturers,US,---,"$1,002,254,246.24","2,299,856"
,2588184,Micron Technology Inc,MU,0.91%,Semiconductors,US,---,"$884,301,352.00","910,712"
,6771720,Samsung Electronics Co Ltd,005930,0.83%,"Technology Hardware, Storage & Peripherals",KR,---,"$806,906,997.35","3,846,194"
,2516152,Eli Lilly & Co,LLY,0.75%,Pharmaceuticals,US,---,"$721,445,660.00","652,892"
,6450267,SK hynix Inc,000660,0.71%,Semiconductors,KR,---,"$687,270,831.54","441,405"
,2007849,Advanced Micro Devices Inc,AMD,0.70%,Semiconductors,US,---,"$677,424,086.30","1,312,583"
,2073390,Berkshire Hathaway Inc,BRK/B,0.65%,Multi-Sector Holdings,US,---,"$629,285,268.24","1,326,263"
,2190385,JPMorgan Chase & Co,JPM,0.64%,Diversified Banks,US,---,"$618,464,851.62","2,066,302"
,B929F46,ASML Holding NV,ASML,0.53%,Semiconductor Materials & Equipment,NL,---,"$511,568,443.89","316,382"
,2326618,Exxon Mobil Corp,XOM,0.52%,Integrated Oil & Gas,US,---,"$499,155,340.14","3,436,289"
,B2PZN04,Visa Inc,V,0.46%,Transaction & Payment Processing Services,US,---,"$446,644,220.68","1,368,563"
,2475833,Johnson & Johnson,JNJ,0.46%,Pharmaceuticals,US,---,"$440,952,558.27","1,956,919"
,2463247,Intel Corp,INTC,0.43%,Semiconductors,US,---,"$413,517,272.48","3,605,836"
,2936921,Walmart Inc,WMT,0.42%,Consumer Staples Merchandise Retail,US,---,"$409,867,624.75","3,540,973"
,2198163,Cisco Systems Inc,CSCO,0.40%,Communications Equipment,US,---,"$390,186,449.46","3,240,213"
,2701271,Costco Wholesale Corp,COST,0.36%,Consumer Staples Merchandise Retail,US,---,"$345,199,005.12","360,966"
,2180201,Caterpillar Inc,CAT,0.34%,Construction Machinery & Heavy Transportation Equipment,US,---,"$330,080,368.20","376,860"
,BSML4N7,Lam Research Corp,LRCX,0.34%,Semiconductor Materials & Equipment,US,---,"$325,430,049.48","1,022,786"
,B121557,Mastercard Inc,MA,0.33%,Transaction & Payment Processing Services,US,---,"$322,905,834.36","653,682"
,B92SR70,AbbVie Inc,ABBV,0.32%,Biotechnology,US,---,"$314,158,203.12","1,442,946"
,2661568,Oracle Corp,ORCL,0.32%,Systems Software,US,---,"$309,766,321.74","1,371,983"
,2857817,Netflix Inc,NFLX,0.31%,Movies & Entertainment,US,---,"$296,979,749.00","3,452,450"
,2046552,Applied Materials Inc,AMAT,0.30%,Semiconductor Materials & Equipment,US,---,"$290,689,703.46","645,891"
,2917766,UnitedHealth Group Inc,UNH,0.29%,Managed Health Care,US,---,"$281,935,592.61","741,331"
,BN78DQ4,Palantir Technologies Inc,PLTR,0.29%,Application Software,US,---,"$278,684,561.58","1,780,277"
,2838555,Chevron Corp,CVX,0.29%,Integrated Oil & Gas,US,---,"$277,234,467.96","1,519,426"
,BMMV2K8,Tencent Holdings Ltd,700,0.28%,Interactive Media & Services,HK,---,"$274,336,513.48","5,049,302"
,BL59CR9,General Electric Co,GE,0.28%,Aerospace & Defense,US,---,"$274,122,411.84","846,684"
,2704407,Procter & Gamble Co/The,PG,0.28%,Household Products,US,---,"$272,520,809.36","1,898,306"
,2295677,Bank of America Corp,BAC,0.27%,Diversified Banks,US,---,"$265,402,226.40","5,143,454"
,0540528,HSBC Holdings PLC,HSBA,0.27%,Diversified Banks,GB,---,"$262,415,053.96","13,974,430"
,2434209,Home Depot Inc/The,HD,0.26%,Home Improvement Retail,US,---,"$256,434,646.90","808,585"
,2206657,Coca-Cola Co/The,KO,0.26%,Soft Drinks & Non-alcoholic Beverages,US,---,"$249,139,625.67","3,153,267"
,2778844,Merck & Co Inc,MRK,0.25%,Pharmaceuticals,US,---,"$240,044,004.48","2,021,934"
,7103065,Novartis AG,NOVN,0.24%,Pharmaceuticals,CH,---,"$234,649,301.19","1,560,064"
